n_estimators,max_samples,max_features,contamination,val_ap,val_auc,val_recall_5pct
300,auto,1.0,0.005,0.09003472265107876,0.9065918645690969,0.6329113924050633
300,auto,1.0,0.01,0.09003472265107876,0.9065918645690969,0.6329113924050633
300,auto,1.0,0.02,0.09003472265107876,0.9065918645690969,0.6329113924050633
300,auto,1.0,0.03,0.09003472265107876,0.9065918645690969,0.6329113924050633
300,auto,1.0,0.05,0.09003472265107876,0.9065918645690969,0.6329113924050633
300,auto,1.0,0.08,0.09003472265107876,0.9065918645690969,0.6329113924050633
800,auto,0.6,0.05,0.08497845481225168,0.8989928048115977,0.5949367088607594
800,auto,0.6,0.08,0.08497845481225168,0.8989928048115977,0.5949367088607594
800,auto,0.6,0.02,0.08497845481225168,0.8989928048115977,0.5949367088607594
800,auto,0.6,0.03,0.08497845481225168,0.8989928048115977,0.5949367088607594
800,auto,0.6,0.01,0.08497845481225168,0.8989928048115977,0.5949367088607594
800,auto,0.6,0.005,0.08497845481225168,0.8989928048115977,0.5949367088607594
500,auto,1.0,0.05,0.08445304027302454,0.904779363017097,0.620253164556962
500,auto,1.0,0.08,0.08445304027302454,0.904779363017097,0.620253164556962
500,auto,1.0,0.02,0.08445304027302454,0.904779363017097,0.620253164556962
500,auto,1.0,0.03,0.08445304027302454,0.904779363017097,0.620253164556962
500,auto,1.0,0.005,0.08445304027302454,0.904779363017097,0.620253164556962
500,auto,1.0,0.01,0.08445304027302454,0.904779363017097,0.620253164556962
800,auto,1.0,0.02,0.08439660143674478,0.903402592741654,0.620253164556962
800,auto,1.0,0.03,0.08439660143674478,0.903402592741654,0.620253164556962
800,auto,1.0,0.005,0.08439660143674478,0.903402592741654,0.620253164556962
800,auto,1.0,0.01,0.08439660143674478,0.903402592741654,0.620253164556962
800,auto,1.0,0.05,0.08439660143674478,0.903402592741654,0.620253164556962
800,auto,1.0,0.08,0.08439660143674478,0.903402592741654,0.620253164556962
300,auto,0.8,0.03,0.06944778895262814,0.8940458492379153,0.5569620253164557
300,auto,0.8,0.02,0.06944778895262814,0.8940458492379153,0.5569620253164557
300,auto,0.8,0.05,0.06944778895262814,0.8940458492379153,0.5569620253164557
300,auto,0.8,0.08,0.06944778895262814,0.8940458492379153,0.5569620253164557
300,auto,0.8,0.01,0.06944778895262814,0.8940458492379153,0.5569620253164557
300,auto,0.8,0.005,0.06944778895262814,0.8940458492379153,0.5569620253164557
